Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Hysteroscopic Myomectomy;Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Uterine Artery Embolization (UAE / UFE);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Oophorectomy (Unilateral / Bilateral);Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Laparoscopic Oophorectomy;Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Salpingectomy (Unilateral / Bilateral);Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Laparoscopic Salpingectomy for Ectopic Pregnancy;Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Salpingostomy for Ectopic Pregnancy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Salpingo-Oophorectomy (BSO);Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Ovarian Cystectomy;Gynecology & Obstetrics;"Ureteral transection or bladder perforation ; Renal or iliac vessel injury / intraoperative hemorrhage ; TURP syndrome (hyponatremia / fluid overload)";"Urinary tract infection (UTI) / urosepsis ; Urinary leak / urinoma or fistula ; Catheter obstruction / acute urinary retention ; Hematuria requiring transfusion";"Urinary incontinence (stress or urge) ; Erectile dysfunction or retrograde ejaculation ; Urethral stricture or ureteral stricture ; Chronic pelvic pain"
Laparoscopic Ovarian Cystectomy;Gynecology & Obstetrics;"Ureteral transection or bladder perforation ; Renal or iliac vessel injury / intraoperative hemorrhage ; TURP syndrome (hyponatremia / fluid overload)";"Urinary tract infection (UTI) / urosepsis ; Urinary leak / urinoma or fistula ; Catheter obstruction / acute urinary retention ; Hematuria requiring transfusion";"Urinary incontinence (stress or urge) ; Erectile dysfunction or retrograde ejaculation ; Urethral stricture or ureteral stricture ; Chronic pelvic pain"
Ovarian Drilling for PCOS;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Tubal Ligation (Pomeroy Method);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Tubal Ligation (Bipolar Cautery / Filshie Clips);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Laparoscopic Tubal Reversal (Anastomosis);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Diagnostic Laparoscopy for Pelvic Pain / Infertility;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Laparoscopic Excision of Endometriosis;Gynecology & Obstetrics;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Laparoscopic Ablation of Endometriosis;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Presacral Neurectomy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Uterosacral Ligament Ablation (LUNA);Gynecology & Obstetrics;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Hysteroscopy (Diagnostic);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Hysteroscopic Polypectomy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Hysteroscopic Resection of Uterine Septum;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Hysteroscopic Adhesiolysis (Asherman's Syndrome);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Endometrial Ablation (Novasure / Hydrothermablator);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Dilatation and Curettage (D&C);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Suction Curettage / Vacuum Aspiration;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Cervical Conization (Cold Knife Cone);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Loop Electrosurgical Excision Procedure (LEEP / LLETZ);Gynecology & Obstetrics;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Cervical Biopsy / Punch Biopsy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Cervical Cerclage (McDonald / Shirodkar);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Transabdominal Cervical Cerclage (TAC);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Trachelectomy (Radical);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Vaginoplasty;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Colporrhaphy (Anterior Repair for Cystocele);Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Colporrhaphy (Posterior Repair for Rectocele);Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Enterocele Repair;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Sacrocolpopexy (Laparoscopic / Robotic);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Sacrospinous Ligament Fixation;Gynecology & Obstetrics;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Uterosacral Ligament Suspension;Gynecology & Obstetrics;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Laparoscopic Pectopexy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Bartholin's Gland Cyst Marsupialization;Gynecology & Obstetrics;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Bartholin's Gland Excision;Gynecology & Obstetrics;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Vulvectomy (Simple / Radical);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Radical Vulvectomy with Inguinal Lymphadenectomy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Labiaplasty (Minora / Majora);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Clitoral Hood Reduction;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Hymenotomy / Hymenectomy;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Hymenoplasty;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Cesarean Section (Lower Uterine Segment - LSCSE);Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Classical Cesarean Section;Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Cesarean Hysterectomy;Gynecology & Obstetrics;"Ureteral or urinary bladder laceration ; Bowel perforation or serosal injury ; Uterine artery laceration or pelvic hemorrhage";"Pelvic hematoma or abscess ; Wound dehiscence or surgical site infection ; Pelvic thrombophlebitis / DVT / PE ; Urinary tract infection";"Vaginal vault prolapse or cuff dehiscence ; Vesicovaginal or enterovaginal fistula ; Pelvic adhesive disease / chronic pelvic pain ; Early surgical menopause (if oophorectomy)"
Operative Vaginal Delivery - Forceps;Gynecology & Obstetrics;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury) ; Air embolism via open hepatic veins ; Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome ; Bile leak or perihepatic abscess ; Coagulopathy and postoperative bleeding ; Pleural effusion or right lung atelectasis";"Recurrence of primary hepatic tumor ; Biliary stricture or persistent bile leak ; Post-resection portal hypertension"
Operative Vaginal Delivery - Vacuum Extraction;Gynecology & Obstetrics;"Severe intraoperative hemorrhage (hepatic vein or portal vein injury) ; Air embolism via open hepatic veins ; Biliary transection / major duct disruption";"Postoperative liver failure / small-for-size syndrome ; Bile leak or perihepatic abscess ; Coagulopathy and postoperative bleeding ; Pleural effusion or right lung atelectasis";"Recurrence of primary hepatic tumor ; Biliary stricture or persistent bile leak ; Post-resection portal hypertension"
Episiotomy (Midline / Mediolateral);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Repair of 3rd / 4th Degree Perineal Laceration;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Manual Removal of Placenta;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Uterine Balloon Tamponade (Bakri Placement);Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
B-Lynch Suture Placement for Postpartum Hemorrhage;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
O'Leary Intrauterine Suture;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Fetal Surgery for Myelomeningocele;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Fetoscopic Laser Photocoagulation for TTTS;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
In Vitro Fertilization - Oocyte Retrieval;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Embryo Transfer;Gynecology & Obstetrics;"Inadvertent bladder or ureteral laceration ; Pelvic vessel intraoperative hemorrhage ; Visceral tissue trauma";"Pelvic hematoma or abscess ; Surgical site infection / wound breakdown ; DVT / Pulmonary embolism";"Pelvic adhesive disease ; Chronic pelvic pain ; Anastomotic or organ cuff weakness"
Tonsillectomy (Coblation / Cold Knife / Electrocautery);Otolaryngology (ENT) & Head & Neck Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Adenoidectomy;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Adenotonsillectomy;Otolaryngology (ENT) & Head & Neck Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Myringotomy with Tympanostomy Tube Insertion;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Tympanoplasty (Type I - V);Otolaryngology (ENT) & Head & Neck Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Myringoplasty;Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Mastoidectomy (Simple / Cortical);Otolaryngology (ENT) & Head & Neck Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
